bldg_name,bldg_type,bldg_owner,zone_id,plot_id,num_smart_meters,pv_size_kw,pv_subsidy,pv_already_installed_size_kW,can_install_pv,minergie,x_coord,y_coord,x_coord_norm,y_coord_norm
B302024820,MULTI_RES,Firm,Z1523,P_346,19,154,47600,0,1,0,681483,246413,1180,727
B302030034,PARKING,Institution,Z1974,P_596,1,0,1600,0,1,0,682093,247821,1790,2135
B302030145,MULTI_RES,Institution,Z1191,P_747,10,35,13500,0,1,1,682091,247505,1788,1819
B302030147,MULTI_RES,Firm,Z1075,P_712,12,58,21320,0,1,0,682057,247592,1754,1906
B302030149,PARKING,Firm,Z0010,P_478,1,0,1600,0,1,0,681643,247970,1340,2284
B302030391,OFFICE,Firm,Z1363,P_221,1,79,28460,0,1,0,681982,246556,1679,870
B302030393,MULTI_RES,Landlord,Z1377,P_221,21,120,37400,0,1,0,681990,246479,1687,793
B302030394,SCHOOL,Institution,Z0591,P_333,1,33,12820,0,1,0,682378,246561,2075,875
B302030395,SCHOOL,Institution,Z0591,P_333,1,66,24040,0,1,0,682350,246542,2047,856
B302030851,MULTI_RES,Firm,Z0265,P_1049,11,44,16560,0,1,1,680995,247312,692,1626
B302030852,MULTI_RES,Firm,Z0265,P_1049,9,40,15200,0,1,1,681014,247299,711,1613
B302030853,MULTI_RES,Firm,Z1600,P_1049,4,26,13560,0,1,0,680979,247298,676,1612
B302030854,MULTI_RES,Institution,Z1563,P_864,51,176,54200,0,1,0,680876,247312,573,1626
B302030855,MULTI_RES,Institution,Z1565,P_954,55,172,53000,34,1,0,680821,247287,518,1601
B302030857,MULTI_RES,Institution,Z1564,P_864,58,144,44600,28,1,0,680862,247254,559,1568
B302030863,PARKING,Landlord,Z1833,P_371,1,0,1600,0,1,0,681193,246923,890,1237
B302030870,MULTI_RES,Firm,Z1732,P_343,8,59,21660,0,1,0,680824,246713,521,1027
B302030871,MULTI_RES,Firm,Z1736,P_343,10,81,29140,0,1,0,680779,246705,476,1019
B302030872,MULTI_RES,Firm,Z1733,P_343,12,80,28800,0,1,0,680795,246681,492,995
B302030873,MULTI_RES,Firm,Z1729,P_363,10,68,24720,0,1,0,680847,246687,544,1001
B302030874,MULTI_RES,Firm,Z1730,P_363,10,78,28120,0,1,0,680811,246656,508,970
B302030875,MULTI_RES,Firm,Z1731,P_363,10,83,29820,0,1,0,680864,246666,561,980
B302030876,MULTI_RES,Firm,Z0745,P_363,10,79,28460,0,1,0,680827,246632,524,946
B302030885,MULTI_RES,Landlord,Z1645,P_346,26,99,35260,0,1,1,681451,246462,1148,776
B302030886,RETAIL,Firm,Z0111,P_266,1,286,87200,0,1,0,681284,246215,981,529
B302030888,MULTI_RES,Landlord,Z1400,P_19,4,31,12140,0,1,0,681338,246092,1035,406
B302030889,HOTEL,Firm,Z1681,P_165,1,225,68900,0,1,1,681853,246278,1550,592
B302030890,MULTI_RES,Landlord,Z1680,P_165,16,67,24380,0,1,1,681826,246232,1523,546
B302030891,MULTI_RES,Landlord,Z1680,P_165,7,48,17920,0,1,1,681809,246219,1506,533
B302030892,MULTI_RES,Landlord,Z1680,P_165,9,47,17580,0,1,1,681792,246214,1489,528
B302030893,MULTI_RES,Landlord,Z1680,P_165,11,45,16900,0,1,1,681775,246213,1472,527
B302030894,MULTI_RES,Landlord,Z1680,P_165,16,63,23020,0,1,1,681758,246203,1455,517
B302030895,MULTI_RES,Landlord,Z1680,P_165,33,105,32900,0,1,1,681736,246174,1433,488
B302030896,MULTI_RES,Landlord,Z0453,P_165,12,72,26080,0,1,1,681704,246083,1401,397
B302030897,MULTI_RES,Landlord,Z0453,P_165,11,67,24380,0,1,1,681703,246063,1400,377
B302030898,MULTI_RES,Landlord,Z0453,P_165,17,69,25060,0,1,1,681708,246044,1405,358
B302030899,MULTI_RES,Landlord,Z0453,P_165,11,65,23700,0,1,1,681714,246025,1411,339
B302030900,MULTI_RES,Landlord,Z0453,P_165,10,69,25060,0,1,1,681724,246003,1421,317
B302030901,SCHOOL,Landlord,Z0433,P_165,1,146,45200,0,1,0,681804,246032,1501,346
B302030903,MULTI_RES,Firm,Z0250,P_238,43,263,80300,0,1,1,681862,246151,1559,465
B302030926,PARKING,Institution,Z0015,P_427,1,0,1600,0,1,0,681898,247842,1595,2156
B302030947,PARKING,Firm,Z1178,P_957,1,0,1600,0,1,0,682171,247271,1868,1585
B302030952,PARKING,Institution,Z1573,P_242,1,36,13840,0,1,0,681984,246098,1681,412
B302030957,PARKING,Firm,Z0033,P_319,1,118,36800,0,1,0,682149,246651,1846,965
B302030962,PARKING,Landlord,Z1929,P_386,1,1,2060,0,1,0,682149,246329,1846,643
B302031525,PARKING,Firm,Z1793,P_43,1,1,2060,0,1,0,681913,245829,1610,143
B302031538,PARKING,Firm,Z1809,P_271,1,24,12640,0,1,0,681191,246357,888,671
B302031541,PARKING,Firm,Z0646,P_691,1,0,1600,0,1,0,681695,247043,1392,1357
B302031542,PARKING,Firm,Z0648,P_691,1,0,1600,0,1,0,681696,247004,1393,1318
B302031552,PARKING,Landlord,Z1645,P_346,1,0,1600,0,1,0,681428,246492,1125,806
B302031556,MULTI_RES,Landlord,Z1645,P_346,35,157,48500,0,1,1,681419,246504,1116,818
B302031941,PARKING,Landlord,Z1956,P_23,1,6,4360,0,1,0,682254,245813,1951,127
B302031942,PARKING,Landlord,Z1957,P_23,1,3,2980,0,1,0,682263,245797,1960,111
B302031957,PARKING,Institution,Z1948,P_224,1,2,2520,0,1,0,682185,246205,1882,519
B302031961,PARKING,Firm,Z1931,P_224,1,9,5740,0,1,0,682237,246305,1934,619
B302031968,PARKING,Institution,Z1569,P_242,1,4,3440,0,1,0,681953,246173,1650,487
B302031973,PARKING,Institution,Z1933,P_205,1,10,6200,0,1,0,682424,246632,2121,946
B302031979,PARKING,Landlord,Z0963,P_345,1,91,32540,0,1,0,681088,246587,785,901
B302031994,PARKING,Firm,Z1110,P_856,1,75,27100,0,1,0,681601,247452,1298,1766
B302031996,PARKING,Firm,Z1759,P_928,1,12,7120,0,1,0,681835,247289,1532,1603
B302031997,PARKING,Firm,Z0646,P_691,1,0,1600,0,1,0,681754,247015,1451,1329
B302031998,PARKING,Firm,Z1127,P_986,1,13,7580,0,1,0,681795,247126,1492,1440
B302031999,PARKING,Landlord,Z1127,P_986,1,0,1600,0,1,0,681737,247094,1434,1408
B302032011,PARKING,Firm,Z0061,P_796,1,156,48200,0,1,0,681900,247330,1597,1644
B302032013,PARKING,Firm,Z1605,P_942,1,77,27780,0,1,0,680812,247154,509,1468
B302032021,PARKING,Firm,Z0892,P_345,1,135,41900,0,1,0,681033,246597,730,911
B302032028,PARKING,Landlord,Z1796,P_392,1,8,5280,0,1,0,681716,246328,1413,642
B302032031,PARKING,Institution,Z1971,P_670,1,11,6660,0,1,0,681396,246951,1093,1265
B302032033,PARKING,Institution,Z1807,P_327,1,2,2520,0,1,0,681567,246359,1264,673
B302032034,PARKING,Institution,Z1808,P_250,1,2,2520,0,1,0,681562,246345,1259,659
B302032035,PARKING,Institution,Z1384,P_250,1,49,18260,0,1,0,681542,246339,1239,653
B302032036,PARKING,Institution,Z1647,P_349,1,3,2980,0,1,0,681832,246804,1529,1118
B302032039,PARKING,Institution,Z1392,P_142,1,14,8040,0,1,0,681832,245824,1529,138
B302032058,PARKING,Institution,Z1713,P_404,1,132,41000,0,1,0,681734,246579,1431,893
B302032059,PARKING,Institution,Z1713,P_404,1,1,2060,0,1,0,681720,246530,1417,844
B302032069,PARKING,Institution,Z1386,P_382,1,2,2520,0,1,0,680773,246516,470,830
B302032075,PARKING,Landlord,Z1716,P_282,1,0,1600,0,1,0,680883,246472,580,786
B302032092,PARKING,Firm,Z1784,P_942,1,5,3900,0,1,0,680421,247058,118,1372
B302032097,PARKING,Firm,Z1387,P_412,1,3,2980,0,1,0,680425,246556,122,870
B302032110,PARKING,Landlord,Z1910,P_19,1,4,3440,0,1,0,681177,246007,874,321
B302032115,PARKING,Institution,Z1922,P_21,1,3,2980,0,1,0,681138,245729,835,43
B302032117,PARKING,Institution,Z1894,P_240,1,2,2520,0,1,0,680541,246247,238,561
B302032125,PARKING,Firm,Z1806,P_391,1,6,4360,0,1,0,681426,246377,1123,691
B302032127,PARKING,Firm,Z0061,P_796,1,124,38600,0,1,0,681836,247416,1533,1730
B302032128,PARKING,Firm,Z0061,P_796,1,161,49700,0,1,0,681824,247406,1521,1720
B302032613,PARKING,Firm,Z1769,P_957,1,6,4360,0,1,0,682141,247293,1838,1607
B302032648,PARKING,Institution,Z1770,P_1036,1,0,1600,0,1,0,682289,247185,1986,1499
B302032657,PARKING,Landlord,Z1773,P_577,1,4,3440,0,1,0,682305,247702,2002,2016
B302032667,PARKING,Firm,Z0010,P_478,1,0,1600,0,1,0,681645,247970,1342,2284
B302034012,PARKING,Firm,Z1839,P_221,1,2,2520,0,1,0,681956,246499,1653,813
B302034164,MULTI_RES,Landlord,Z0475,P_174,8,64,23360,0,1,0,681475,246024,1172,338
B302034177,SCHOOL,Institution,Z1786,P_356,1,38,14520,0,1,0,680364,246896,61,1210
B302034203,LIBRARY,Institution,Z0031,P_1043,1,13,7580,0,1,0,681044,247236,741,1550
B302034216,PARKING,Landlord,Z0351,P_576,1,6,4360,0,1,0,682373,247714,2070,2028
B302034217,MULTI_RES,Landlord,Z0351,P_576,7,44,16560,0,1,0,682380,247732,2077,2046
B302034293,MULTI_RES,Landlord,Z1702,P_363,8,41,15540,0,1,1,680970,246829,667,1143
B302034294,MULTI_RES,Landlord,Z1701,P_363,7,43,16220,0,1,1,680944,246834,641,1148
B302034296,MULTI_RES,Institution,Z0402,P_212,8,51,18940,38,1,0,680387,246198,84,512
B302034297,MULTI_RES,Institution,Z0402,P_212,5,36,13840,27,1,0,680370,246217,67,531
B302034298,MULTI_RES,Institution,Z0401,P_212,6,43,16220,32,1,0,680348,246237,45,551
B302034299,MULTI_RES,Institution,Z0401,P_212,7,43,16220,32,1,0,680328,246252,25,566
B302034304,SINGLE_RES,Institution,Z1721,P_261,1,8,5280,3,1,0,680405,246224,102,538
B302034305,SINGLE_RES,Institution,Z1721,P_261,1,7,4820,2,1,0,680402,246228,99,542
B302034306,SINGLE_RES,Institution,Z1721,P_261,1,7,4820,2,1,0,680398,246232,95,546
B302034307,SINGLE_RES,Institution,Z1721,P_261,2,7,4820,2,1,0,680394,246236,91,550
B302034308,SINGLE_RES,Institution,Z1721,P_261,2,7,4820,2,1,0,680390,246240,87,554
B302034309,SINGLE_RES,Institution,Z1721,P_261,1,7,4820,2,1,0,680387,246244,84,558
B302034310,SINGLE_RES,Institution,Z1721,P_261,1,7,4820,2,1,0,680383,246248,80,562
B302034311,SINGLE_RES,Institution,Z1721,P_261,1,7,4820,2,1,0,680379,246251,76,565
B302034312,SINGLE_RES,Institution,Z1721,P_261,2,7,4820,2,1,0,680375,246255,72,569
B302034313,SINGLE_RES,Institution,Z1721,P_261,1,8,5280,3,1,0,680371,246259,68,573
B302034314,SINGLE_RES,Institution,Z1720,P_261,1,10,6200,2,1,0,680363,246267,60,581
B302034315,SINGLE_RES,Institution,Z1720,P_261,2,11,6660,2,1,0,680358,246271,55,585
B302034316,SINGLE_RES,Institution,Z1720,P_261,1,9,5740,1,1,0,680354,246274,51,588
B302034317,SINGLE_RES,Institution,Z1720,P_261,1,9,5740,1,1,0,680349,246278,46,592
B302034318,SINGLE_RES,Institution,Z1720,P_261,2,11,6660,2,1,0,680345,246281,42,595
B302034319,SINGLE_RES,Institution,Z1720,P_261,1,9,5740,1,1,0,680340,246285,37,599
B302034320,SINGLE_RES,Institution,Z1720,P_261,1,9,5740,1,1,0,680336,246288,33,602
B302034321,SINGLE_RES,Institution,Z1720,P_261,2,10,6200,2,1,0,680331,246292,28,606
B302034322,SINGLE_RES,Institution,Z1720,P_261,1,9,5740,1,1,0,680326,246295,23,609
B302034323,SINGLE_RES,Institution,Z1720,P_261,1,9,5740,1,1,0,680321,246298,18,612
B302034324,SINGLE_RES,Institution,Z1720,P_261,2,11,6660,2,1,0,680316,246301,13,615
B302034339,MULTI_RES,Institution,Z1719,P_261,5,39,14860,19,1,0,680430,246242,127,556
B302034340,MULTI_RES,Institution,Z1719,P_261,4,35,13500,17,1,0,680414,246258,111,572
B302034341,MULTI_RES,Institution,Z1719,P_261,6,39,14860,19,1,0,680397,246274,94,588
B302034342,MULTI_RES,Institution,Z1717,P_261,5,39,14860,19,1,0,680375,246294,72,608
B302034343,MULTI_RES,Institution,Z1717,P_261,3,36,13840,18,1,0,680356,246308,53,622
B302034344,MULTI_RES,Institution,Z1717,P_261,6,39,14860,19,1,0,680336,246320,33,634
B302034348,SCHOOL,Institution,Z0398,P_269,1,62,22680,15,1,0,680442,246276,139,590
B302034349,MULTI_RES,Institution,Z0398,P_269,2,30,11800,7,1,0,680423,246297,120,611
B302034350,MULTI_RES,Institution,Z0398,P_269,3,30,11800,7,1,0,680409,246309,106,623
B302034351,MULTI_RES,Institution,Z0398,P_269,1,30,11800,7,1,0,680393,246320,90,634
B302034409,MULTI_RES,Landlord,Z1347,P_28,7,30,11800,0,1,1,682352,245862,2049,176
