2015,2016,2017,2018,2019
-1.547605573,-0.735456768,-7.614032813,18.83485855,-5.760562264
-2.650293188,-2.235233153,-5.49000623,21.38360323,-6.91990576
-0.351867268,-0.943170072,-6.095891862,19.36771498,-8.549332762
-2.757857745,-3.167996875,-7.749339669,20.12458045,-2.743293101
-1.945588003,-6.057752178,-9.499303497,22.20015756,-0.468677872
-3.698279884,-9.957817415,-14.45305177,37.51896035,-2.121651916
-1.033268311,-10.30635457,-15.33071458,37.3966448,-3.582635457
-5.185325053,-5.20764452,-16.311798,37.99479649,-4.540566615
-1.058595109,-7.791204649,-16.85657217,36.44659143,-4.199068479
-0.101507703,-7.59433738,-13.2116825,36.11215838,-8.412661703
-3.120671135,-9.035262119,-14.29762511,45.11205352,-9.923894954
-3.793712836,-8.542300245,-12.35370016,42.7818436,-9.669971132
-2.443328626,-5.128884216,-8.903914065,33.43035134,-10.4704343
-3.685462118,-3.805060035,-7.977048185,32.25828481,-10.55660386
-1.354804147,-7.653134072,-7.027383108,30.2235764,-7.936493789
3.315071818,-9.702869578,-4.740497728,33.07666537,-14.79845276
4.557228365,-7.974192208,-7.114482089,28.80341472,-12.4348567
5.205323966,-11.08574028,-3.485553828,19.5564887,-5.564596841
-0.116344912,-7.556022464,-4.183305235,20.18134935,-3.869311076
-1.911818329,-4.02092277,-3.381026382,18.220932,-5.085840018
-2.253145341,-4.446841056,-2.011431649,19.85636738,-6.802868048
-3.502228866,-3.324268323,-2.641585805,18.13570252,-4.820861792
-3.980037835,-1.864633512,-2.684595149,21.91020532,-8.910450901
-2.935965726,-0.660630045,-3.858583839,22.60253085,-10.80372793
-0.781202285,-1.127185059,-4.569537584,17.0115878,-7.402214013
1.405765318,-0.129987481,-5.041085188,14.28466155,-8.146348536
-1.805596809,0.158374747,-7.078710156,15.63314811,-4.411426025
0.843727565,-0.79982423,-9.411115038,22.35105735,-9.326819993
2.112243478,2.747923251,-11.59802191,16.70236388,-8.068195696
7.627643018,4.093393062,-6.20844791,7.435408674,-12.67341097
5.871864352,4.049686334,-6.511947459,9.535205534,-12.22519638
6.85141459,3.124427043,-10.9072827,11.62404499,-9.917280165
7.253782366,3.171805716,-8.177502186,10.8934842,-12.25749929
6.811719208,3.667068964,-5.646196787,11.30531546,-14.95756983
6.539556603,3.738056876,-5.714755417,11.47118449,-14.82723637
5.435280803,3.384382984,-5.849949319,13.27259499,-14.61901985
4.328408137,3.393592172,-6.178901351,14.10083222,-13.85810884
4.752413744,2.405727252,-7.420071171,13.74509146,-11.80257491
7.076827453,1.432641155,-8.299652402,13.37279674,-12.02458147
8.943379682,2.123427687,-6.44234215,10.16757115,-13.8177073
10.30720332,-3.119041116,-4.188655862,11.49472535,-12.52235144
7.652800294,-3.487086897,-3.071371188,13.11223803,-11.68966036
3.707239511,-3.27436748,-0.074486995,15.0101919,-12.08908526
1.681062159,0.995704786,0.578725957,12.93641038,-13.65491423
1.088101678,5.867783742,-3.160776452,12.36969612,-14.60081531
-0.036656211,5.710377511,-5.54819415,11.96189876,-10.79927058
-1.753125352,5.529166925,-6.264552744,14.97020811,-10.59223269
-2.756285363,4.72603822,-6.456665475,17.67951845,-10.66455744
1.418709219,6.945438033,-14.02445692,18.31670132,-11.08786732
1.796501975,2.619703791,-11.85757885,20.88505051,-10.70345175
0.162940411,5.768518353,-12.46294738,20.48233559,-11.6344067
3.738511051,5.786923397,-15.35037128,19.04872774,-11.57910811
6.51170988,8.528800666,-14.71427029,11.3754847,-11.90271601
8.834086021,10.25799366,-13.85737487,8.162915412,-14.40180572
10.4551789,20.64048748,-20.56156074,2.314928328,-16.81562839
12.18368285,25.44164472,-20.04401255,0.320506487,-22.75868055
10.89803081,24.68015602,-19.80153927,1.30187088,-21.60110147
13.27458641,12.74091917,-16.87708483,6.686187185,-17.79768669
14.7081617,10.03733824,-16.92985106,7.862750224,-17.1769269
13.770349,10.55417807,-16.68634957,8.172196203,-17.25101172
12.16303445,9.656286822,-14.0912706,10.06891504,-18.46091361
11.34227009,10.53788385,-15.09589287,9.26293555,-17.04440348
14.08553907,10.05592839,-15.70169274,7.083884873,-17.04380729
16.78057816,11.99061469,-17.76595298,5.360367721,-18.70863965
18.846788,7.183467952,-17.75543414,7.246042669,-17.0392558
17.59937226,-1.829393768,-18.72910624,16.15809948,-12.04883448
13.05312797,-0.676316193,-18.24566784,18.37573278,-10.86110166
10.06419423,-0.087321042,-15.44007203,17.87249953,-10.57021314
7.954788275,0.734658108,-13.28931667,19.09799597,-12.22665134
5.101596645,2.524033146,-12.50289084,17.38284369,-10.61467994
5.378535942,3.00540493,-13.4528135,17.57869028,-10.73037423
7.964700564,1.423169798,-14.31636011,17.43517608,-10.74589691
4.334997758,3.042487733,-9.189541466,14.1489496,-10.80550033
5.419871284,5.147954279,-11.58210133,16.38641601,-13.86923538
8.609037951,4.638208459,-14.42190492,18.25985261,-15.51428083
15.74370516,5.061979159,-18.12212873,15.13598424,-17.47674689
19.12335123,5.052350087,-18.35392235,10.71266376,-17.19736498
21.09783424,0.716777617,-13.72390565,5.647905175,-14.57260428
24.11729889,-2.762070557,-14.88333926,5.207472653,-12.43798784
30.15547693,-4.87113029,-14.43785885,5.302456176,-16.78131978
31.88873147,-8.204128348,-13.31482079,7.788878228,-17.87654755
24.08928649,-6.685531367,-11.10245708,10.53132443,-15.7306165
20.63051622,-5.565494185,-11.03955221,12.33206063,-14.91073136
18.21440388,-6.065880462,-9.717314626,14.36436465,-14.69164204
15.92030865,-4.265583418,-9.989578754,15.25859321,-14.79191455
15.23881372,2.05294903,-12.24863177,12.8403328,-17.09901443
19.52367681,-1.497221355,-10.88293944,9.950244335,-16.50418205
24.07418732,-6.117853039,-9.7708538,9.120055248,-16.41503448
25.27322661,-7.752057007,-10.06648242,10.00976918,-16.28565997
13.65407693,-7.280809094,-7.541136982,17.96044883,-13.50105291
7.949063777,-4.247381626,-7.124162466,19.89921899,-12.91634447
7.904202385,-4.392291362,-6.697679698,18.55622873,-12.02398574
6.871677456,-2.909626264,-3.849125882,16.2732116,-13.34484366
7.293281811,-0.427001255,-6.66594294,13.87658393,-12.06835955
3.951597338,1.542443692,-6.148622449,16.64195057,-13.4832531
3.792305219,2.123629861,-7.205813498,16.22034684,-12.67289116
6.02470098,3.136584505,-8.041615425,19.72102634,-18.11722654
5.102529503,4.70870598,-9.347875434,20.42167976,-18.28757574
4.344216981,4.347501485,-10.79753179,22.63577367,-17.57136186
5.650469017,5.449634299,-12.1110182,20.83500583,-17.5082712
5.968307055,6.304132091,-10.47557522,17.43003755,-17.53472508
6.263320415,1.376347443,-5.920135892,13.05073389,-13.01385795
1.908446587,-2.685948025,-6.427064798,16.23156764,-6.147463088
2.333851886,-7.245779842,-7.817637284,16.43096473,-0.462517676
3.574715935,-6.684605278,-7.36057965,17.1618374,-3.347950972
3.507955508,-5.488100903,-5.614795184,18.32819204,-7.100391988
3.534372368,-5.763230892,-5.28502871,18.67908903,-7.400699761
3.212724655,-4.31715724,-5.961457344,18.38214072,-7.819737931
1.420242503,-1.341046879,-5.409063807,16.92154086,-8.596369656
1.590388348,-1.469398427,-7.470515515,16.89628534,-6.753213044
1.995198583,-5.623429812,-6.198560702,17.45005566,-4.174248278
3.523788817,-7.115544772,-5.568985908,16.13430748,-3.614468563
3.201602465,-7.228286988,-5.581039017,16.55087235,-3.480943189
0.267244922,-3.757578006,-7.139758497,20.81446089,-6.294177921
-5.167470055,-1.640372794,-5.349396682,23.87928903,-7.110439321
-3.785508608,-1.562930279,-4.666379806,23.79586643,-9.161493586
-1.118328201,-1.433814375,-6.03888308,25.27737004,-11.98434348
-1.952197756,-0.807178905,-6.950011258,23.31645349,-9.436789544
-1.971379578,2.281386767,-5.354164577,19.50278933,-11.21972718
-1.566077122,3.108530911,-6.731133132,21.25130273,-12.70153752
0.870421181,4.771100352,-6.613919265,21.75445096,-17.54013496
-1.105661973,9.611191781,-7.426996024,20.59794094,-19.19694653
-2.203685486,9.197455709,-8.060761313,21.78386717,-17.98941577
-0.139839136,7.339857886,-7.781272999,19.77512,-16.70792645
1.63452915,7.425130607,-8.237591582,18.49838533,-17.19304108
0.228971845,1.991024616,-5.550191859,17.14464423,-11.0998023
0.312996662,-1.237981931,-5.535554962,18.51715743,-8.73255034
-3.869214443,-2.615683146,-7.331715868,24.8497964,-6.355214959
-2.35155746,-3.525571943,-8.450042746,24.88481097,-5.929299008
-1.313594299,-2.957371224,-7.763106136,24.35550269,-7.816845755
0.790904155,-2.828693449,-6.71760178,25.11752314,-11.66564949
1.71031673,-2.509939837,-6.686880417,24.19963254,-12.25599678
2.179703893,-0.491503582,-6.864911213,23.24828535,-14.04448391
2.611091276,0.650400639,-8.253024833,21.23738046,-12.8933707
2.083943495,-0.247638071,-9.117432335,20.73740249,-10.18570297
1.790390014,-0.461141539,-9.520946465,20.48271914,-9.082918841
1.465478475,-1.258233537,-9.814162291,22.6543098,-9.337796637
1.725194242,-4.667548258,-6.361919394,22.76706547,-9.042667548
1.135829651,-1.782368118,-4.161558561,19.36742821,-10.89089082
-0.036711838,2.926789977,-3.515118049,16.27220288,-12.99600249
1.128571213,2.471919611,-3.427727419,17.37608631,-14.64803768
-0.391093481,4.191462912,-4.94235203,15.96653313,-12.4985179
-0.662623081,4.847533767,-4.74980923,16.74944967,-13.74095224
-2.068444746,4.957340532,-6.804590782,21.03579048,-13.98713165
-1.856935338,1.587682015,-13.71660125,28.52432391,-10.2345216
-1.141214877,2.37613143,-16.16311116,31.40759668,-11.93361142
-1.120478505,2.302037112,-15.0404228,28.87237449,-10.86306548
-1.193214863,1.535810799,-13.09414741,29.14004297,-11.90919253
-0.407087122,1.502814759,-12.37920523,28.368884,-12.70796076
